 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
It's not a model you've seen before. The droid appears to be dedicated to this work station. It seems harmless enough.	這不是你見過的型號。這台機器人似乎專職顧著這個工作站，看起來沒什麼威脅性。
It is similar to the one you are currently viewing. The only difference is that you can't read what it says.	它和你現在看的那台很像，唯一的差別是你看不懂上面寫的字。
Your view of the grabber from here reveals a Forward/Reverse control stick (currently grasped), and a button marked CLAW.	從這裡看向抓取裝置，你看見一支前進∕後退控制桿（目前正被握住），還有一個標著「CLAW」的按鈕。
A grabber hangs beneath a rail. There is a seat for a driver. There is a claw underneath that looks capable of grabbing things.	一台抓取裝置懸掛在軌道下方，上面有駕駛座，下方還有一個看起來能夠抓取物品的機械爪。
Your viewing angle doesn't allow that.	你這個角度看不到那個。
It's hanging peacefully under the grabber.	它靜靜地掛在抓取裝置下方。
Your not able to make it out here.	你在這裡看不清楚。
You are grasping the control stick in your hand.	你手裡正握著控制桿。
It looks like your standard directional control.	看起來是標準的方向控制裝置。
The claw looks very much like something which would bear the name 'claw'. A set of opposing appendages is designed to grip an object by applying pressure from about its circumference in the direction of its center.	這機械爪長得非常符合「爪子」這個名字。一組相對的爪臂設計成能從物體周圍朝中心施力，藉此夾住東西。
You seem to be covering all available seat surface area making viewing impossible.	你似乎把座位表面全部擋住了，根本看不到。
On the south side of the room is a chute. A platform extends from its edge.	房間南側有一個滑槽，邊緣延伸出一個平台。
On the south side of the room is a chute which leads to who-knows-where. A platform extends from its edge.	房間南側有一個通往不知名處的滑槽，邊緣延伸出一個平台。
The rail is supported by beams hanging from the ceiling. The grabber hangs below it.	軌道由懸掛在天花板上的橫樑支撐，抓取裝置就掛在軌道下方。
The walls are made of metal and very strong composite materials commonly used in spacecraft.	牆壁是用金屬和太空船常用的高強度複合材料製成的。
In this room the rail makes a U-turn. There is a chute at the bottom. In the middle are panels of monitoring devices being tended to by a droid.	在這個房間裡，軌道呈 U 字形轉彎。底部有一個滑槽，中間則有一排監控面板，正被一台機器人照看著。
In this room the rail makes a U-turn. There is a machine here which hangs under the rail. There is a chute at the bottom. In the middle are panels of monitoring devices being tended to by a droid.	在這個房間裡，軌道呈 U 字形轉彎，有一台機械懸掛在軌道下方。底部有一個滑槽，中間則有一排監控面板，正被一台機器人照看著。
The safety light on top of the grabber indicates that it is currently in use.	抓取裝置頂部的安全燈顯示它目前正在使用中。
There is a safety light on top of the grabber. It is currently dark.	抓取裝置頂部有一盞安全燈，目前是暗的。
More metal decking.	又是一片金屬地板。
The ceiling looks closer from up here. It looks no more spectacular, however.	從這裡看，天花板感覺近了些，不過看起來還是沒什麼特別的。
It apparently isn't designed to process input from you.	它顯然不是設計來接受你操作的。
You are not equipped to mar this metal moron, nor do you need to.	你沒有能耐傷得了這個金屬蠢貨，而且你也用不著。
You aren't able to do that.	你辦不到那件事。
Go there yourself.	你自己去那裡吧。
Think again.	再想想看。
Just move as you've been moving.	就照你原本的方式移動就好。
You must bring the grabber to a complete stop before doing that.	你得先讓機械手臂完全停下來，才能這麼做。
You're not in a satisfactory location for performing that act.	你現在的位置不適合做這個動作。
You're not on it.	你不在上面。
You really bit the beam, Buckwheat. And there's that lack of regard for organics in action again. I guess they never heard of the warning shot concept around here. Anyway, you're dead.	你這下真的死透了，巴克維特。他們對有機生物的漠視又發作了一次。這裡的人大概沒聽過「先鳴槍示警」這種概念。總之，你死了。
Plopping into the seat, you grasp the forward/backward control of the grabber.	你一屁股坐進座位，抓住機械手臂的前後控制桿。
The button is programmed not to work in this area.	這顆按鈕被設定成在這區域不會作用。
We haven't seen footwork like that since Gerald Ford! Unfortunately, your fall causes you to make contact with the non-moving deck below. The resulting impact forces the cancellation of your subscription to life.	自從那位以愛跌倒出名的總統之後，沒人看過這麼笨拙的舞步了！不幸的是，你這一摔，狠狠撞上了動也不動的甲板。這一撞，直接把你的「人生訂閱」給取消了。
It's going to take quite awhile at this speed.  You've got time to get up and make a sandwich or wax the car or something.	這種速度要開好一陣子。你大概有空站起來做個三明治，或去洗個車什麼的。
This speed is great for astral combat, but not for jumping across the galaxy.  This could take forever.	這種速度打星際空戰是不錯，但拿來跨越銀河系就不行了。這樣搞下去會沒完沒了。
With a mighty whump you set the Aluminum Mallard down on the surface of %s.	伴隨一聲巨響，你把鋁製野鴨號降落在 %s 的表面上。
Well, Roger, ya done good!  You managed to rescue the Two Guys and escape from Pestulon alive.  Looks like this'll be a milk run from here on out.	幹得好啊，羅傑！你成功救出了仙女座雙傑，還活著逃離了佩斯圖倫。看來接下來應該是一路順風了。
The ramp is immobilized by the junk it's laying in, so you exit through the hatch instead.	坡道被壓在底下的垃圾卡死動不了，你只好改走艙門出去。
Please do not attempt to disembark until the ride has come to a complete stop!	請等交通工具完全停止後，再嘗試下車！
First, you'll need to tear your buttocks away from that pilot's seat.	你得先把屁股從駕駛座上扳開才行。
You don't have a motivator, and there isn't one here.	你身上沒有動力裝置，這裡也沒有。
It's already closed.	已經是關著的了。
All ship systems are accessed through the pilot's computer.	所有船艦系統都要透過駕駛電腦來操作。
You're already sitting.	你已經坐著了。
Since the two guys are in the passenger seats, you have no choice but to sit in the pilot seat.	因為仙女座雙傑都坐在乘客座上，你只能坐進駕駛座。
The two passenger seats look quite comfortable. However, the pilot seat is where you'd rather plop your butt.	兩個乘客座看起來挺舒服的。不過你還是比較想一屁股坐進駕駛座。
You're already standing.	你已經站著了。
Please remain seated while vehicle is in motion.	車輛行進中請坐好，別亂動。
You don't have any.	你身上沒有這東西。
They're so comfortable, you forget that you're already wearing them.	這東西太舒服了，你都忘了自己已經穿上了。
You'll have to stand up for that.	你得先站起來才能這麼做。
